client_id,num_clients_setting,missing_split,train_num_nodes,val_num_nodes,test_num_nodes,train_val_js,train_test_js,val_test_js,train_val_l1,train_test_l1,val_test_l1,train_val_l2,train_test_l2,val_test_l2,train_val_max,train_test_max,val_test_max,train_deg_in>3,val_deg_in>3,test_deg_in>3,tv_absdiff_deg_in>3,tt_absdiff_deg_in>3,vt_absdiff_deg_in>3,train_deg_out>3,val_deg_out>3,test_deg_out>3,tv_absdiff_deg_out>3,tt_absdiff_deg_out>3,vt_absdiff_deg_out>3,train_fan_in>3,val_fan_in>3,test_fan_in>3,tv_absdiff_fan_in>3,tt_absdiff_fan_in>3,vt_absdiff_fan_in>3,train_fan_out>3,val_fan_out>3,test_fan_out>3,tv_absdiff_fan_out>3,tt_absdiff_fan_out>3,vt_absdiff_fan_out>3,train_cycle2,val_cycle2,test_cycle2,tv_absdiff_cycle2,tt_absdiff_cycle2,vt_absdiff_cycle2,train_cycle3,val_cycle3,test_cycle3,tv_absdiff_cycle3,tt_absdiff_cycle3,vt_absdiff_cycle3,train_cycle4,val_cycle4,test_cycle4,tv_absdiff_cycle4,tt_absdiff_cycle4,vt_absdiff_cycle4,train_cycle5,val_cycle5,test_cycle5,tv_absdiff_cycle5,tt_absdiff_cycle5,vt_absdiff_cycle5,train_cycle6,val_cycle6,test_cycle6,tv_absdiff_cycle6,tt_absdiff_cycle6,vt_absdiff_cycle6,train_scatter_gather,val_scatter_gather,test_scatter_gather,tv_absdiff_scatter_gather,tt_absdiff_scatter_gather,vt_absdiff_scatter_gather,train_biclique,val_biclique,test_biclique,tv_absdiff_biclique,tt_absdiff_biclique,vt_absdiff_biclique
0,15,False,3131,3037,3094,0.0001386181410152486,5.685191487125548e-05,0.0001482181448612867,1.1730624437332153,0.5648923516273499,1.1483482122421265,1.393699288368225,0.7535820603370667,1.4849780797958374,2.4384994506835938,1.8099250793457031,3.2440643310546875,42.095177,42.8054,41.467358,0.71022415,0.62781906,1.3380432,41.424465,43.62858,41.919846,2.204113,0.4953804,1.7087326,39.029064,39.907803,39.204914,0.8787384,0.17584991,0.7028885,39.029064,40.270004,38.49386,1.2409401,0.53520584,1.7761459,20.568508,21.238064,21.33161,0.66955566,0.7631016,0.09354591,39.955284,40.43464,39.07563,0.47935486,0.87965393,1.3590088,59.05461,59.499508,59.146736,0.4448967,0.09212494,0.35277176,75.4711,73.0326,76.276665,2.4384995,0.8055649,3.2440643,84.70137,82.87784,84.71234,1.8235321,0.010971069,1.8345032,36.314278,36.450447,36.29606,0.13616943,0.018218994,0.15438843,35.132545,37.01021,36.94247,1.8776627,1.8099251,0.06773758
1,15,False,3038,3053,2893,9.345608512774752e-05,0.0001921527071463951,0.00039313059335470955,0.8489463329315186,1.2519890069961548,1.9025124311447144,0.9714873433113098,1.658435344696045,2.2390122413635254,1.6273269653320312,3.2034378051757812,4.315998077392578,41.70507,42.87586,39.85482,1.1707878,1.8502502,3.021038,41.86965,40.746803,42.30902,1.1228485,0.4393692,1.5622177,38.907177,39.86243,37.469753,0.9552536,1.4374237,2.3926773,39.203423,37.733376,39.543728,1.470047,0.34030533,1.8103523,20.901909,20.406158,20.566885,0.49575043,0.33502388,0.16072655,40.22383,41.33639,37.020393,1.1125603,3.2034378,4.315998,59.01909,59.318703,57.207054,0.29961395,1.8120346,2.1116486,73.33772,73.17393,74.075356,0.16379547,0.73763275,0.9014282,83.47597,82.967575,83.1317,0.50839233,0.3442688,0.16412354,37.195526,36.783493,34.013134,0.41203308,3.1823921,2.770359,35.450954,37.07828,35.361214,1.627327,0.08974075,1.7170677
2,15,False,3195,2998,3076,0.00011812238551505111,9.370464662979486e-05,7.461656795882971e-05,1.4559286832809448,1.144555687904358,0.8220987915992737,1.780052900314331,1.4321439266204834,0.9498928785324097,3.6327133178710938,2.5726165771484375,1.554046630859375,41.877934,42.26151,41.775032,0.38357544,0.10290146,0.4864769,43.12989,40.993996,42.0026,2.1358948,1.1272888,1.008606,39.09233,39.426285,39.3368,0.33395386,0.24446869,0.08948517,40.31299,38.292194,39.53186,2.020794,0.7811279,1.239666,21.001566,21.681122,20.90377,0.6795559,0.09779549,0.7773514,41.064163,38.79253,38.491547,2.2716331,2.5726166,0.30098343,60.000004,58.739162,58.257477,1.2608414,1.742527,0.48168564,75.68075,72.048035,73.60208,3.6327133,2.0786667,1.5540466,85.03912,82.88859,84.16775,2.1505356,0.87137604,1.2791595,37.057903,36.124084,34.720413,0.9338188,2.33749,1.4036713,35.71205,35.92395,36.345905,0.2118988,0.6338539,0.4219551
3,15,False,3019,3088,3055,0.0001205577208426046,0.00016956109921118087,0.00010601744442213822,1.0126011371612549,1.1135964393615723,1.1939774751663208,1.1555663347244263,1.4452199935913086,1.468456745147705,2.1120071411132812,3.1471023559570312,2.8412094116210938,41.371315,41.936527,41.571194,0.56521225,0.1998787,0.36533356,41.536934,43.102333,42.32406,1.5653992,0.78712463,0.77827454,38.853924,39.21632,39.050735,0.36239624,0.19681168,0.16558456,38.65518,40.12306,39.705402,1.4678764,1.0502205,0.41765594,22.225903,20.790155,20.0,1.4357471,2.2259026,0.7901554,39.052666,38.147667,39.705402,0.9049988,0.65273666,1.5577354,57.93309,58.808292,61.080193,0.8752022,3.1471024,2.2719002,74.22988,72.117874,74.95908,2.1120071,0.7292023,2.8412094,82.74263,81.67098,83.66612,1.0716476,0.92349243,1.9951401,36.303413,36.107513,36.530277,0.19589996,0.22686386,0.42276382,34.81285,35.395077,36.923077,0.5822258,2.1102257,1.5279999
4,15,False,3017,2982,3055,0.00015717775273409206,0.00015306044269722458,7.989479679453904e-05,1.144093632698059,1.0558418035507202,1.027169108390808,1.401381254196167,1.2588165998458862,1.1119966506958008,2.468250274658203,2.5960159301757812,1.8064422607421875,43.321182,41.348087,42.02946,1.9730949,1.2917213,0.6813736,41.39874,42.219986,42.782326,0.8212471,1.3835869,0.5623398,41.133575,38.665325,39.705402,2.4682503,1.4281731,1.0400772,38.58137,39.067738,39.705402,0.48636627,1.1240311,0.6376648,20.185616,19.919518,21.145662,0.26609802,0.96004677,1.2261448,38.780247,38.296448,38.756138,0.48379898,0.024108887,0.4596901,58.634407,60.529846,58.723404,1.8954391,0.08899689,1.8064423,73.052704,72.70288,74.07529,0.349823,1.022583,1.372406,83.062645,82.863846,84.353516,0.19879913,1.2908707,1.4896698,37.653297,35.74782,35.05728,1.9054756,2.596016,0.6905403,37.752735,36.016098,37.34861,1.7366371,0.4041252,1.3325119
5,15,False,3019,3026,2926,7.479553454816182e-05,6.54779952076513e-05,0.00015798164593202766,0.8289136290550232,0.7431449890136719,1.1635024547576904,0.8501294255256653,0.9383502006530762,1.4266548156738281,1.1412734985351562,1.8146171569824219,2.7472763061523438,42.72938,41.80436,42.378674,0.9250221,0.350708,0.5743141,41.70255,42.23397,41.455914,0.53142166,0.24663544,0.7780571,39.814507,38.863186,40.054684,0.95132065,0.24017715,1.1914978,38.68831,39.226704,38.721806,0.5383949,0.033496857,0.5048981,21.92779,20.786516,20.915926,1.1412735,1.0118637,0.12940979,39.682014,40.614674,37.867397,0.93265915,1.8146172,2.7472763,57.999336,58.88962,58.30485,0.8902855,0.3055153,0.5847702,73.76615,74.52082,72.96651,0.7546692,0.7996445,1.5543137,83.935074,84.534035,82.29665,0.5989609,1.6384201,2.237381,36.601524,35.624588,36.05605,0.97693634,0.545475,0.43146133,36.303413,35.426308,37.491455,0.8771057,1.1880417,2.0651474
6,15,False,3058,3091,3029,5.3202609761602345e-05,9.027120437028117e-05,8.961214318493096e-05,1.0812842845916748,0.8796908855438232,0.9587865471839905,1.3510316610336304,1.06277596950531,1.179225206375122,3.1625823974609375,2.082061767578125,2.5272140502929688,42.576847,41.66936,42.357212,0.90748596,0.21963501,0.68785095,42.544147,42.08994,42.159126,0.45420837,0.3850212,0.069187164,39.40484,38.91944,40.145264,0.48539734,0.7404251,1.2258224,39.69915,39.210613,38.824696,0.48853683,0.8744545,0.38591766,21.877045,20.446457,21.096071,1.4305878,0.78097343,0.64961433,40.97449,39.50178,38.989765,1.4727097,1.984726,0.5120163,59.87574,58.68651,59.32651,1.1892319,0.54922867,0.6400032,75.01635,71.85377,74.38098,3.1625824,0.63536835,2.527214,84.009155,82.368164,83.69099,1.6409912,0.31816864,1.3228226,37.70438,37.495956,35.62232,0.20842361,2.0820618,1.8736382,36.265533,36.719505,37.37207,0.45397186,1.1065369,0.652565
7,15,False,3057,3142,3164,0.00012905879208147705,8.567100025453343e-05,0.0001400598787887822,1.1708073616027832,1.068374752998352,1.0740776062011719,1.3153663873672485,1.2188047170639038,1.5689738988876343,2.498626708984375,2.19036865234375,3.7646255493164062,41.38044,42.870785,42.225033,1.490345,0.84459305,0.64575195,42.263657,43.189053,42.667507,0.92539597,0.40385056,0.5215454,38.567223,39.624443,39.53856,1.0572205,0.97133636,0.085884094,39.156036,40.29281,39.854614,1.1367722,0.6985779,0.43819427,20.935558,21.70592,21.144121,0.77036095,0.20856285,0.5617981,40.431793,39.84723,38.906445,0.5845642,1.5253487,0.94078445,59.208374,59.770847,60.176994,0.5624733,0.9686203,0.406147,74.713776,72.21515,75.979774,2.4986267,1.2659988,3.7646255,83.513245,82.55888,85.46144,0.95436096,1.9481964,2.9025574,36.440956,37.2056,35.714287,0.7646446,0.7266693,1.4913139,35.230618,37.364735,37.420986,2.1341171,2.1903687,0.056251526
8,15,False,3028,2992,3070,0.00010472452486261501,5.596875643916065e-05,7.220842721619627e-05,1.259035587310791,0.6787253022193909,1.6185436248779297,1.6854883432388306,0.886763870716095,1.9424171447753906,3.2431716918945312,2.3043136596679688,3.5865478515625,42.338177,42.4131,42.67101,0.07492447,0.33283234,0.25790787,42.338177,42.1123,43.029316,0.22587585,0.6911392,0.9170151,39.861294,39.57219,40.260586,0.28910446,0.399292,0.68839645,39.56407,39.037434,40.065147,0.52663803,0.50107574,1.0277138,21.56539,20.187166,21.856678,1.3782234,0.29128838,1.6695118,40.85205,38.368984,40.39088,2.4830666,0.4611702,2.0218964,59.114925,56.48396,58.697067,2.6309662,0.41785812,2.213108,74.900925,71.65775,75.2443,3.2431717,0.34337616,3.5865479,84.18098,81.9853,85.407166,2.1956787,1.2261887,3.4218674,36.360634,36.263367,35.86319,0.09726715,0.49744415,0.400177,36.32761,37.032085,38.631924,0.7044754,2.3043137,1.5998383
9,15,False,3143,3126,3048,2.603423227284026e-05,8.055965992998818e-05,8.38446594330775e-05,0.5221412181854248,1.4111148118972778,1.1583806276321411,0.6155385375022888,1.6241135597229004,1.4129688739776611,1.0731658935546875,3.5065650939941406,2.9135894775390625,43.143494,42.802303,41.207348,0.34119034,1.9361458,1.5949554,43.048042,42.930264,42.290028,0.11777878,0.7580147,0.6402359,40.311806,40.01919,38.812336,0.29261398,1.4994698,1.2068558,40.05727,40.56302,39.66535,0.50574875,0.39191818,0.89766693,22.176264,22.232885,21.587927,0.05662155,0.58833694,0.6449585,39.64365,40.56302,38.353016,0.91936874,1.2906342,2.210003,59.94273,59.692894,58.103676,0.24983597,1.8390541,1.5892181,75.02386,74.152275,73.720474,0.87158203,1.3033829,0.43180084,84.75978,84.03711,83.562996,0.7226715,1.196785,0.47411346,38.021,37.428024,34.514435,0.5929756,3.506565,2.9135895,37.957363,36.884197,36.745407,1.0731659,1.211956,0.13879013
