client_id,num_clients_setting,missing_split,train_num_nodes,val_num_nodes,test_num_nodes,train_val_js,train_test_js,val_test_js,train_val_l1,train_test_l1,val_test_l1,train_val_l2,train_test_l2,val_test_l2,train_val_max,train_test_max,val_test_max,train_deg_in>3,val_deg_in>3,test_deg_in>3,tv_absdiff_deg_in>3,tt_absdiff_deg_in>3,vt_absdiff_deg_in>3,train_deg_out>3,val_deg_out>3,test_deg_out>3,tv_absdiff_deg_out>3,tt_absdiff_deg_out>3,vt_absdiff_deg_out>3,train_fan_in>3,val_fan_in>3,test_fan_in>3,tv_absdiff_fan_in>3,tt_absdiff_fan_in>3,vt_absdiff_fan_in>3,train_fan_out>3,val_fan_out>3,test_fan_out>3,tv_absdiff_fan_out>3,tt_absdiff_fan_out>3,vt_absdiff_fan_out>3,train_cycle2,val_cycle2,test_cycle2,tv_absdiff_cycle2,tt_absdiff_cycle2,vt_absdiff_cycle2,train_cycle3,val_cycle3,test_cycle3,tv_absdiff_cycle3,tt_absdiff_cycle3,vt_absdiff_cycle3,train_cycle4,val_cycle4,test_cycle4,tv_absdiff_cycle4,tt_absdiff_cycle4,vt_absdiff_cycle4,train_cycle5,val_cycle5,test_cycle5,tv_absdiff_cycle5,tt_absdiff_cycle5,vt_absdiff_cycle5,train_cycle6,val_cycle6,test_cycle6,tv_absdiff_cycle6,tt_absdiff_cycle6,vt_absdiff_cycle6,train_scatter_gather,val_scatter_gather,test_scatter_gather,tv_absdiff_scatter_gather,tt_absdiff_scatter_gather,vt_absdiff_scatter_gather,train_biclique,val_biclique,test_biclique,tv_absdiff_biclique,tt_absdiff_biclique,vt_absdiff_biclique
0,10,False,4125,4215,4209,1.655870992031943e-05,8.89996265164883e-05,4.7218088178865164e-05,0.4152124524116516,0.8852795958518982,0.6773778796195984,0.4749683141708374,1.12743079662323,0.8027110695838928,0.6739616394042969,1.707061767578125,1.3142318725585938,41.187878,41.660736,41.43502,0.47285843,0.24714279,0.22571564,40.654545,41.28114,42.361607,0.62659454,1.7070618,1.0804672,38.4,38.623962,38.417675,0.22396088,0.017673492,0.20628738,37.648483,38.291817,39.249226,0.64333344,1.6007423,0.9574089,20.484848,20.308422,20.432407,0.17642593,0.052440643,0.12398529,38.521214,39.027283,38.180088,0.5060692,0.3411255,0.8471947,58.03636,58.102016,58.066048,0.065654755,0.029685974,0.03596878,71.97575,71.93357,73.2478,0.042182922,1.272049,1.3142319,81.93939,82.44366,83.48777,0.50426483,1.548378,1.0441132,36.266666,35.634636,34.663815,0.6320305,1.6028519,0.9708214,35.103027,35.77699,36.42195,0.67396164,1.318924,0.6449623
1,10,False,4194,4289,4125,5.955650112174826e-05,0.00011425924218898416,7.753854263641772e-05,0.9362245202064514,1.0343890190124512,0.7193542718887329,1.2398492097854614,1.2572604417800903,0.9414195418357849,2.541706085205078,2.5840072631835938,1.8760719299316406,41.034813,40.522266,40.969696,0.51254654,0.06511688,0.44742966,41.48784,41.54815,40.751514,0.060310364,0.7363243,0.7966347,38.36433,37.88762,38.787876,0.47671127,0.42354584,0.9002571,39.055794,38.330616,38.036366,0.72517776,1.0194283,0.2942505,20.195517,20.704126,20.70303,0.5086098,0.50751305,0.0010967255,39.794945,38.423874,38.42424,1.3710709,1.3707047,0.00036621094,60.01431,57.472603,57.4303,2.541706,2.5840073,0.042301178,74.91655,72.534386,74.08485,2.382164,0.8317032,1.5504608,84.04864,82.863144,83.66061,1.1854935,0.388031,0.79746246,36.266094,36.3488,34.47273,0.08270645,1.7933655,1.8760719,35.383884,35.835857,37.042423,0.45197296,1.6585388,1.2065659
2,10,False,4147,4113,4262,6.040876463079669e-05,8.384329693913637e-05,7.844355437091016e-05,0.9499296545982361,1.0234508514404297,0.8261439800262451,1.2966880798339844,1.1107852458953857,1.0047067403793335,2.98138427734375,1.7443656921386719,1.8556976318359375,41.596336,41.040604,40.966682,0.5557327,0.62965393,0.0739212,42.223293,41.575493,40.708588,0.64780045,1.5147057,0.8669052,38.823246,38.341843,38.4092,0.48140335,0.41404724,0.06735611,39.20907,38.341843,37.84608,0.86722565,1.3629875,0.49576187,21.774776,20.204231,20.858751,1.5705452,0.91602516,0.65452003,39.37786,39.09555,38.36227,0.2823105,1.0155907,0.7332802,57.48734,57.622177,57.907085,0.1348381,0.4197464,0.2849083,73.691826,71.432045,72.9939,2.259781,0.6979294,1.5618515,83.457924,80.47654,82.33224,2.9813843,1.1256866,1.8556976,36.821796,36.494045,35.07743,0.32775116,1.7443657,1.4166145,35.302628,35.64308,36.71985,0.3404541,1.4172211,1.076767
3,10,False,4258,4148,4210,6.768375779744797e-05,7.128675951040145e-05,8.317479408319652e-05,0.9895846843719482,0.8383447527885437,0.7585154175758362,1.231902003288269,0.9112682342529297,1.2139350175857544,2.7668991088867188,1.4878768920898438,2.6422805786132812,41.122593,40.356796,40.38005,0.76579666,0.74254227,0.023254395,42.038517,41.51398,41.18765,0.52453613,0.8508682,0.3263321,38.327854,37.729027,37.885986,0.59882736,0.44186783,0.15695953,39.12635,38.50048,38.21853,0.62586975,0.90782166,0.2819519,21.348051,20.973965,20.71259,0.37408638,0.6354618,0.26137543,39.689995,38.355835,38.266033,1.3341599,1.4239616,0.08980179,57.867546,59.08872,58.669834,1.2211723,0.80228806,0.41888428,74.7534,71.9865,74.56057,2.766899,0.19283295,2.5740662,83.70127,81.87078,84.51306,1.8304901,0.81179047,2.6422806,36.167213,36.137897,34.679337,0.029315948,1.4878769,1.458561,35.251293,36.06557,36.175774,0.81427765,0.92448044,0.11020279
4,10,False,4156,4154,4215,5.397971951163986e-05,6.356831938086568e-05,5.309762595036055e-05,0.6368104815483093,0.849338173866272,0.6617655158042908,0.7470671534538269,1.0125826597213745,0.8094820976257324,1.2313003540039062,1.9288673400878906,1.6712455749511719,41.530315,41.30958,40.972717,0.22073364,0.5575981,0.33686447,40.688164,41.887337,41.518387,1.199173,0.8302231,0.3689499,38.594803,38.20414,38.647686,0.39066315,0.05288315,0.4435463,37.704525,38.902264,38.45789,1.1977386,0.75336456,0.44437408,20.861404,20.028887,20.925266,0.8325176,0.06386185,0.8963795,39.100094,38.468945,38.576515,0.6311493,0.52357864,0.10757065,57.410973,58.642273,58.31554,1.2313004,0.9045677,0.32673264,72.28104,72.50842,73.80783,0.22738647,1.5267944,1.299408,82.290665,82.643234,83.65362,0.35256958,1.3629532,1.0103836,36.14052,35.676456,35.30249,0.46406174,0.83802795,0.37396622,35.08181,35.33943,37.010677,0.25762177,1.9288673,1.6712456
5,10,False,4325,4231,4170,3.987130878875165e-05,5.241138667753053e-05,6.383556866413928e-05,0.5501048564910889,0.4645744562149048,0.7062204480171204,0.7912982702255249,0.6220207810401917,0.9490891098976135,2.0170745849609375,1.386423110961914,2.1096649169921875,41.248554,41.834084,41.318943,0.5855293,0.070388794,0.51514053,41.31792,41.31411,41.582733,0.0038108826,0.26481247,0.26862335,38.543354,39.045143,38.753,0.5017891,0.20964432,0.29214478,38.3815,38.548805,38.56115,0.167305,0.17964935,0.01234436,21.410404,20.704325,20.023981,0.7060795,1.3864231,0.6803436,39.00578,38.926968,38.009594,0.078811646,0.9961853,0.91737366,57.895954,58.04774,57.745804,0.1517868,0.1501503,0.3019371,74.10405,72.086975,74.19664,2.0170746,0.09259033,2.109665,83.60693,82.415504,84.0048,1.1914291,0.3978653,1.5892944,35.907516,36.09076,35.035973,0.1832428,0.8715439,1.0547867,35.79191,36.256203,36.282974,0.46429443,0.49106598,0.026771545
6,10,False,4272,4251,4124,2.558808174217802e-05,7.272121575539975e-05,0.00011987623929188106,0.4537157714366913,1.3143192529678345,1.4619170427322388,0.5492716431617737,1.461463212966919,1.699800968170166,1.0441665649414062,2.617725372314453,3.0804061889648438,41.175095,41.919548,40.470417,0.74445343,0.7046776,1.449131,41.970974,42.41355,39.86421,0.44257736,2.1067657,2.549343,38.69382,38.908493,37.778854,0.21467209,0.9149666,1.1296387,39.302437,39.731827,37.34239,0.42938995,1.9600487,2.3894386,21.629213,21.17149,20.489817,0.45772362,1.1393967,0.68167305,39.747192,39.755352,38.16683,0.008159637,1.5803642,1.5885239,59.222847,59.068455,57.95344,0.15439224,1.2694054,1.1150131,74.34457,73.3004,73.42386,1.0441666,0.9207077,0.12345886,83.754684,83.60386,83.123184,0.1508255,0.63150024,0.48067474,36.516853,36.979534,33.899128,0.46268082,2.6177254,3.0804062,35.65075,36.53258,35.038795,0.8818321,0.61195374,1.4937859
7,10,False,4151,4132,4189,6.98525376786797e-05,1.3330046741307964e-05,6.459989333723723e-05,0.8142166137695312,0.4687914550304413,1.0285534858703613,1.0039830207824707,0.5878381133079529,1.261297583580017,2.2548980712890625,1.2308692932128906,2.9315338134765625,41.291256,40.682476,41.05992,0.6087799,0.23133469,0.37744522,41.60443,40.70668,42.08642,0.89775085,0.481987,1.3797379,38.279934,37.70571,38.457863,0.57422256,0.17792892,0.7521515,39.02674,37.72991,39.174026,1.2968292,0.14728546,1.4441147,20.597446,21.05518,20.64932,0.45773315,0.05187416,0.405859,37.605396,38.91578,38.171402,1.3103828,0.5660057,0.74437714,57.118767,57.671825,57.603245,0.5530586,0.484478,0.06858063,72.77765,70.52275,73.454285,2.254898,0.67663574,2.9315338,81.859795,81.65537,82.812126,0.204422,0.95233154,1.1567535,35.437244,34.704746,35.59322,0.73249817,0.15597534,0.8884735,35.364975,35.430782,36.595844,0.06580734,1.2308693,1.165062
8,10,False,4196,4121,4152,4.7156887811350065e-05,6.330529456166438e-05,8.861626527292376e-05,1.081905484199524,0.6598657965660095,1.1678199768066406,1.4555238485336304,0.7734811305999756,1.6359155178070068,3.69537353515625,1.673858642578125,3.9286422729492188,41.73022,40.30575,41.859344,1.424469,0.12912369,1.5535927,42.37369,41.68891,41.618496,0.6847801,0.7551956,0.0704155,38.775024,37.587963,39.30636,1.1870613,0.5313339,1.7183952,39.346996,38.582867,38.65607,0.76412964,0.6909256,0.07320404,21.544329,20.480465,20.857418,1.0638638,0.6869106,0.37695312,39.561485,39.019657,38.51156,0.54182816,1.0499268,0.5080986,58.48427,58.43242,59.03179,0.051849365,0.5475235,0.59937286,74.285034,70.58966,74.5183,3.6953735,0.23326874,3.9286423,83.770256,81.92186,84.10405,1.8483963,0.33379364,2.18219,36.320305,35.768017,35.69364,0.55228806,0.6266632,0.07437515,35.224022,35.1371,36.89788,0.08692169,1.6738586,1.7607803
9,10,False,4257,4213,4283,5.538343807918295e-05,8.935350610595231e-05,4.078220339158212e-05,0.8514761328697205,0.8372343182563782,0.5967786908149719,1.102068305015564,1.2354694604873657,0.7102187871932983,2.2998809814453125,2.7905044555664062,1.3995208740234375,41.34367,41.561832,41.372868,0.21816254,0.029197693,0.18896484,41.437634,41.775455,40.975952,0.33782196,0.46168137,0.7995033,38.900635,38.594826,38.827923,0.30580902,0.072711945,0.23309708,38.595257,38.855923,38.220875,0.2606659,0.37438202,0.6350479,21.540993,20.745312,21.130049,0.795681,0.41094398,0.384737,40.451023,38.855923,37.66052,1.5951004,2.7905045,1.195404,59.173126,57.89224,57.459724,1.2808876,1.7134018,0.4325142,75.240776,72.940895,74.340416,2.299881,0.9003601,1.3995209,84.073296,83.36102,83.91315,0.71227264,0.16014862,0.552124,37.350246,35.793972,35.185616,1.5562744,2.164631,0.6083565,36.011276,36.007595,36.14289,0.0036811829,0.13161469,0.13529587
